commodity,model,ds,yhat,yhat_lower,yhat_upper
Potatoes,Prophet,2027-07-01,31.12,31.12,31.12
Potatoes,XGBoost,2026-08-01,55.33952331542969,,
Potatoes,XGBoost,2026-09-01,54.945526123046875,,
Potatoes,XGBoost,2026-10-01,57.457672119140625,,
Potatoes,XGBoost,2026-11-01,57.78845977783203,,
Potatoes,XGBoost,2026-12-01,57.43415451049805,,
Potatoes,XGBoost,2027-01-01,41.127159118652344,,
Potatoes,XGBoost,2027-02-01,32.76805114746094,,
Potatoes,XGBoost,2027-03-01,32.64027786254883,,
Potatoes,XGBoost,2027-04-01,35.673336029052734,,
Potatoes,XGBoost,2027-05-01,41.45661544799805,,
Potatoes,XGBoost,2027-06-01,45.52305603027344,,
Potatoes,XGBoost,2027-07-01,55.13483428955078,,
Pulse Moong (Washed),Prophet,2026-08-01,362.1766855706645,356.7990795611938,367.7688210867816
Pulse Moong (Washed),Prophet,2026-09-01,393.31595276148204,387.5605121330747,398.85226560572335
Pulse Moong (Washed),Prophet,2026-10-01,380.8459577118932,374.73139750512837,387.0366524172634
Pulse Moong (Washed),Prophet,2026-11-01,358.99857982498827,352.37365682206746,365.7663375462424
Pulse Moong (Washed),Prophet,2026-12-01,378.21437992258427,371.09729633084225,385.6584683535267
Pulse Moong (Washed),Prophet,2027-01-01,382.0141314239282,374.42383938421875,390.4285985279628
Pulse Moong (Washed),Prophet,2027-02-01,392.1866478055949,383.15717330305756,402.0976941159991
Pulse Moong (Washed),Prophet,2027-03-01,371.93925114283553,360.6828695134419,383.19076061788917
Pulse Moong (Washed),Prophet,2027-04-01,379.06491678972253,367.2616022911364,391.9996787160751
Pulse Moong (Washed),Prophet,2027-05-01,387.23665396230757,372.35676021170576,401.75106228007456
Pulse Moong (Washed),Prophet,2027-06-01,372.7830345636595,356.34649587058504,388.9536830445898
Pulse Moong (Washed),Prophet,2027-07-01,351.8461402412386,332.7637452988341,370.8952785940934
Pulse Moong (Washed),XGBoost,2026-08-01,383.63714599609375,,
Pulse Moong (Washed),XGBoost,2026-09-01,382.59637451171875,,
Pulse Moong (Washed),XGBoost,2026-10-01,383.4588623046875,,
Pulse Moong (Washed),XGBoost,2026-11-01,378.71099853515625,,
Pulse Moong (Washed),XGBoost,2026-12-01,379.5227966308594,,
Pulse Moong (Washed),XGBoost,2027-01-01,388.3763732910156,,
Pulse Moong (Washed),XGBoost,2027-02-01,390.79693603515625,,
Pulse Moong (Washed),XGBoost,2027-03-01,391.00439453125,,
Pulse Moong (Washed),XGBoost,2027-04-01,391.8687438964844,,
Pulse Moong (Washed),XGBoost,2027-05-01,391.74676513671875,,
Pulse Moong (Washed),XGBoost,2027-06-01,383.751220703125,,
Pulse Moong (Washed),XGBoost,2027-07-01,374.083740234375,,
Pulse Gram,Prophet,2026-08-01,257.6785831893592,245.61,294.4019021716143
Pulse Gram,Prophet,2026-09-01,292.3257680658468,253.96267066931196,327.6160012443159
Pulse Gram,Prophet,2026-10-01,305.6543029586848,269.5582874706263,341.9530299618564
Pulse Gram,Prophet,2026-11-01,304.3598676232362,269.2661951136464,345.4280365892798
Pulse Gram,Prophet,2026-12-01,284.1490296012361,245.61,321.54200449203336
Pulse Gram,Prophet,2027-01-01,245.61,245.61,259.4341923098566
Pulse Gram,Prophet,2027-02-01,245.61,245.61,245.61
Pulse Gram,Prophet,2027-03-01,245.61,245.61,278.5226818158337
Pulse Gram,Prophet,2027-04-01,245.61,245.61,260.17642959771706
Pulse Gram,Prophet,2027-05-01,245.61,245.61,249.5819987699008
Pulse Gram,Prophet,2027-06-01,245.61,245.61,245.61
Pulse Gram,Prophet,2027-07-01,245.61,245.61,245.61
Pulse Gram,XGBoost,2026-08-01,254.64688110351562,,
Pulse Gram,XGBoost,2026-09-01,258.4866943359375,,
Pulse Gram,XGBoost,2026-10-01,262.4309997558594,,
Pulse Gram,XGBoost,2026-11-01,260.57598876953125,,
Pulse Gram,XGBoost,2026-12-01,258.8586730957031,,
Pulse Gram,XGBoost,2027-01-01,259.4765625,,
Pulse Gram,XGBoost,2027-02-01,253.838623046875,,
Pulse Gram,XGBoost,2027-03-01,251.79676818847656,,
Pulse Gram,XGBoost,2027-04-01,250.25643920898438,,
Pulse Gram,XGBoost,2027-05-01,249.68011474609375,,
Pulse Gram,XGBoost,2027-06-01,280.0787048339844,,
Pulse Gram,XGBoost,2027-07-01,292.5755310058594,,
Pulse Masoor (Washed),Prophet,2026-08-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-09-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-10-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-11-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2026-12-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-01-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-02-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-03-01,257.64,257.64,257.64
Pulse Masoor (Washed),Prophet,2027-04-01,257.64,257.64,257.64
